1)	0,0006885211
2)	ERROR
3)	0
4)	ERROR
5)	3,11
*6)	1.663,75
*7)	29,16666667
*8)	150,348	
9)	ERROR
*10)	422,0044784615	
11)	ERROR
*12)	43,0243902439
13)	2'469.134
*14)	-0,8127572016
*15)	ERROR	
*16)	ERROR	
17)	ERROR
18)	1'149.999,87
19)	ERROR
20)	ERROR
*21)	1,9999999998
*22)	6,8121	
*23)	302	
*24)	151'831.684
*25)	1'334.025
*26)	29.748,0130120482
27)	ERROR
*28)	234.567
29)	ERROR
*30)	ERROR
*31)	0,02
32)	0,00001	
33)	100.233,12
34)	10.000
35)	ERROR
36)	21,1
*37)	ERROR
38)	ERROR
39)	ERROR
40)	4
*41)	8,9999999995
*42)	2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000’000.000
43)	0
*44)	0
45)	ERROR
46)	ERROR
*47)	151’831.684
48)	ERROR
49)	ERROR	
50)	ERROR
51)	ERROR	
52)	ERROR
*53)	935435’005.124
54)	1.600
55)	ERROR
*56)	7
